plcyNm,plcyExplnCn,plcySprtCn,aplyYmd,zipCd,aplyUrlAddr,sprtTrgtMinAge,sprtTrgtMaxAge,lclsfNm,mclsfNm,region
청년친화기업 지원,"청년이 일하고 싶은 고용환경을 갖춘 경남형 청년친화기업 지원을 통해, 청년 채용 확대 및 일생활 균형 기업 문화 확산","○ 경상남도 소재(본사) 중소기업
○ 도내 중소기업 중 청년일자리 창출 확대, 일생활 균형 조직문화, 고용 안정성, 복지 혜택 등이 우수한 중소기업을 ‘경남형 청년친화기업’으로 선정·지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,취업,경상남도
청년일자리 성장 프로젝트,"도내 미취업 청년 및 중소기업 임·직원을 대상으로 구직 단념을 예방하고, 청년친화 조직문화, 직장적응 지원 맞춤형 프로그램을 제공","○ 도내 미취업 청년 및 중소기업 임·직원(15 ~ 34세)
○ (구직단념 예방) 구직활동을 지원 및 취업 역량 강화 맞춤형 프로그램 제공
○ (직장 적응 지원) 청년친화 조직문화 교육 및 신입직원 대상 직장 적응지원 교육",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,15.0,34.0,일자리,재직자,경상남도
청춘마켓,청년 창업가 및 소상공인 등이 주도한 프리마켓 개최를 통하여 지역 청년 홍보 및 청년 창업 활성화 기여,"○ 도내 청년 창업가 및 청년 소상공인
○ 지역 청년 창업가 교류 및 판로 확대 지원
  - 지역 축제 기간 등에 청년 주도 프리마켓(버스킹, 푸드트럭, 홍보 등 부대행사) 개최
  - 청년 창업가, 청년 소상공인 등 네트워크 교류회 개최",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,취업,경상남도
귀어 청년 사각지대 해소 지원,귀어 정착 초기 재정적 지원을 통한 어촌 정착 유도 및 법과 조례상 청년어업인의 연령기준 차이로 인해 발생하는 사각지대 귀어청년 지원,"○ 40 ~ 49세 귀어 청년어업인
  - 건강보험료 소득판정기준 중위소득 150% 이하
  - 수산업 경영(어업, 양식업, 유통업, 가공업, 해양레저관광업 등) 5년 이하의 청년어업인(예정자 포함)
○ 40세 이상 50세 미만 독립경영 5년 이하 귀어청년(예정자 포함)의 영어·가계자금 지원(1인당 월 100만원 한도, 최대 1년 간)",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,40.0,49.0,일자리,재직자,경상남도
농업인대학 운영(농식품로컬벤처),지역 농식품 기반의 로컬벤처 육성으로 청년농업인의 농창업 조기 정착 및 안정화 기반 구축,"○ 19 ~ 49세 도내 청년농업인(예비 농식품 창업자 또는 초기 창업자)
○ 지역 농식품 로컬벤처 인력양성을 위한 장기교육 과정 운영",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,49.0,일자리,취업,경상남도
청년 창업농 맞춤형 지원,도내 유입되는 청년농업인들이 건실한 농업경영체로 육성하기 위해 창농(농업 창업)을 지원,"○ 도내 18 ~ 49세 청년농업인
○ 청년농업인의 창농 사업계획서를 평가하여 시설하우스, 노지농업, 가공 및 체험 등 다양한 청년팜 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,49.0,일자리,창업,경상남도
청년창업농 디자인 제작 지원,상품 판매에 있어 필요한 디자인 제작‧홍보 지원으로 상품 판매 경쟁력 제고 ,"○ 19 ~ 39세 임대형 스마트팜 청년농업인
○ 임대형 스마트팜 청년농에게 디자인 제작·홍보 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,창업,경상남도
차세대농업인 성공모델 육성,청년농업인 영농정착 기반 조성 지원으로 영농정착 안정화 유도,"○ 18 ~ 39세 청년농업인(영농경력 2년 이상)
○ 신기술, 영농현장에서 축적, 검증한 기술 등을 적용하여 구체화할 수 있는 영농기반 시설 및 장비 구축 지원
○ 창의적 아이디어 및 신기술이 반영된 자율형 공모",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,39.0,일자리,창업,경상남도
청년후계농 농지 임대료 지원,청년후계농의 영농 초기 농지 임대료 지원으로 안정적 영농기반 마련,"○ 도내 18 ~ 49세 청년농업인
○청년농업인이 농지 임대차 계약을 통해 영농에 종사할 경우 농지 임대료의 50% ~ 80% 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,49.0,일자리,재직자,경상남도
청년농업인 취농직불제,"농촌인구 감소와 고령화 등 농촌 공동화로 신규 농업인력 확보를 위한 청년 농업인 활성화 도모, 영농 초기 소득이 불안정한 청년농업인에게 영농 지원금을 지급 건실한 경영체로 성장을 유도
","○ 청년농업인
  - 40 ~ 49세
  - 4인 가족 기준중위소득 140% 미만
  - 독립경영 5년 이하(독립경영 예정자 포함)
○ 선발된 청년농업인이 독립영농 개시 후 1년 간 월 최대 100만원의 생활안정자금 지원 ",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,40.0,49.0,일자리,재직자,경상남도
