지역명,학생수,교원수,교원 1인당 학생수,교육 인프라 등급
강원특별자치도 강릉시,67854,6388,10.62,상
강원특별자치도 동해시,116289,10062,11.56,상
강원특별자치도 삼척시,10390,812,12.8,상
강원특별자치도 속초시,32195,2785,11.56,상
강원특별자치도 양구군,40231,3141,12.81,상
강원특별자치도 양양군,19269,1634,11.79,상
강원특별자치도 영월군,26542,2316,11.46,상
강원특별자치도 원주시,72385,5298,13.66,상
강원특별자치도 인제군,91671,7152,12.82,상
강원특별자치도 정선군,8830,836,10.56,상
강원특별자치도 철원군,78062,6749,11.57,상
강원특별자치도 춘천시,97447,8483,11.49,상
강원특별자치도 태백시,143710,11753,12.23,상
강원특별자치도 평창군,68676,5331,12.88,상
강원특별자치도 홍천군,69880,5945,11.75,상
강원특별자치도 화천군,21512,1937,11.11,상
강원특별자치도 횡성군,59451,4992,11.91,상
경기도 가평군,33025,2613,12.64,상
경기도 고양시,10944,1216,9,중
경기도 과천시,10864,1206,9.01,중
경기도 광명시,3228,496,6.51,하
경기도 광주시,33973,2635,12.89,상
경기도 구리시,135654,10425,13.01,상
경기도 군포시,14462,1286,11.25,상
경기도 김포시,48360,4022,12.02,상
경기도 남양주시,25996,2339,11.11,상
경기도 동두천시,65442,5210,12.56,상
경기도 부천시,75243,6008,12.52,상
경기도 성남시,11811,1351,8.74,중
경기도 수원시,41001,3120,13.14,상
경기도 시흥시,144027,10707,13.45,상
경기도 안산시,20275,1993,10.17,상
경기도 안성시,1783,328,5.44,하
경기도 안양시,9960,956,10.42,상
경기도 양주시,5303,688,7.71,중
경기도 양평군,8160,756,10.79,상
경기도 여주시,2187,341,6.41,하
경기도 연천군,1791,285,6.28,하
경기도 오산시,2753,498,5.53,하
경기도 용인시,43011,3853,11.16,상
경기도 의왕시,2732,402,6.8,하
경기도 의정부시,2478,468,5.29,하
경기도 이천시,3714,526,7.06,하
경기도 파주시,32444,3024,10.73,상
경기도 평택시,3691,518,7.13,하
경기도 포천시,2642,468,5.65,하
경기도 하남시,5392,818,6.59,하
경기도 화성시,2019,341,5.92,하
경상남도 거제시,3724,557,6.69,하
경상남도 거창군,1921,375,5.12,하
경상남도 고성군,1798,308,5.84,하
경상남도 김해시,2232,398,5.61,하
경상남도 남해군,3136,471,6.66,하
경상남도 밀양시,3815,504,7.57,중
경상남도 사천시,8777,1062,8.26,중
경상남도 산청군,12679,1310,9.68,중
경상남도 양산시,4010,392,10.23,상
경상남도 의령군,11121,1116,9.97,상
경상남도 진주시,105894,9062,11.69,상
경상남도 창녕군,22007,2237,9.84,중
경상남도 창원시,6693,543,12.33,상
경상남도 통영시,9744,1314,7.42,중
경상남도 하동군,3833,575,6.67,하
경상남도 함안군,11363,1506,7.55,중
경상남도 함양군,20772,1887,11.01,상
경상남도 합천군,8447,1085,7.79,중
경상북도 경산시,4302,733,5.87,하
경상북도 경주시,20853,1941,10.74,상
경상북도 고령군,3578,640,5.59,하
경상북도 구미시,52140,4286,12.17,상
경상북도 김천시,7442,997,7.46,중
