시도,합계 : 학교수,합계 : 학생수_총계_계,합계 : 교원수_총계_계
세종특별자치시,170,"67,854","6,388"
경기도,"4,674","1,615,780","132,469"
가평군,39,"5,210",609
고양시,328,"116,289","10,062"
과천시,22,"10,390",812
광명시,92,"32,195","2,785"
광주시,102,"40,231","3,141"
구리시,59,"19,269","1,634"
군포시,88,"26,542","2,316"
김포시,179,"72,385","5,298"
남양주시,235,"91,671","7,152"
동두천시,39,"8,830",836
부천시,241,"78,062","6,749"
성남시,277,"97,447","8,483"
수원시,382,"143,710","11,753"
시흥시,174,"68,676","5,331"
안산시,195,"69,880","5,945"
안성시,102,"21,512","1,937"
안양시,159,"59,451","4,992"
양주시,102,"33,025","2,613"
양평군,68,"10,944","1,216"
여주시,78,"10,864","1,206"
연천군,35,"3,228",496
오산시,93,"33,973","2,635"
용인시,349,"135,654","10,425"
의왕시,45,"14,462","1,286"
의정부시,137,"48,360","4,022"
이천시,104,"25,996","2,339"
파주시,199,"65,442","5,210"
평택시,228,"75,243","6,008"
포천시,77,"11,811","1,351"
하남시,87,"41,001","3,120"
화성시,359,"144,027","10,707"
강원특별자치도,996,"154,059","16,820"
강릉시,98,"20,275","1,993"
고성군,31,"1,783",328
동해시,44,"9,960",956
삼척시,52,"5,303",688
속초시,29,"8,160",756
양구군,29,"2,187",341
양양군,32,"1,791",285
영월군,43,"2,753",498
원주시,166,"43,011","3,853"
인제군,35,"2,732",402
정선군,47,"2,478",468
철원군,37,"3,714",526
춘천시,125,"32,444","3,024"
태백시,34,"3,691",518
평창군,46,"2,642",468
홍천군,69,"5,392",818
화천군,32,"2,019",341
횡성군,47,"3,724",557
충청북도,804,"177,390","17,235"
괴산군,39,"1,921",375
단양군,28,"1,798",308
보은군,39,"2,232",398
영동군,39,"3,136",471
옥천군,36,"3,815",504
음성군,60,"8,777","1,062"
제천시,76,"12,679","1,310"
증평군,15,"4,010",392
진천군,47,"11,121","1,116"
청주시,314,"105,894","9,062"
충주시,111,"22,007","2,237"
충청남도,"1,231","254,528","24,634"
계룡시,17,"6,693",543
공주시,86,"9,744","1,314"
금산군,44,"3,833",575
논산시,89,"11,363","1,506"
당진시,92,"20,772","1,887"
보령시,79,"8,447","1,085"
부여군,65,"4,302",733
서산시,94,"20,853","1,941"
서천군,52,"3,578",640
아산시,150,"52,140","4,286"
예산군,67,"7,442",997
천안시,250,"87,493","6,967"
청양군,31,"1,917",355
태안군,48,"4,215",612
홍성군,67,"11,736","1,193"
전라북도,"1,247","196,477","21,479"
고창군,61,"4,650",730
군산시,150,"30,916","2,917"
김제시,94,"6,761","1,063"
남원시,77,"7,134","1,043"
무주군,30,"1,866",345
부안군,57,"3,786",659
순창군,40,"2,140",419
완주군,87,"9,977","1,298"
익산시,180,"29,859","3,188"
임실군,41,"1,518",370
장수군,28,"1,611",334
전주시,258,"84,540","7,330"
정읍시,105,"10,059","1,390"
진안군,39,"1,660",393
전라남도,"1,338","191,071","22,464"
강진군,41,"2,668",524
고흥군,55,"3,391",608
곡성군,23,"1,922",335
광양시,91,"18,320","1,867"
구례군,28,"1,670",311
나주시,82,"14,377","1,744"
담양군,41,"3,434",534
목포시,113,"30,217","2,681"
무안군,56,"11,230","1,136"
보성군,49,"2,673",534
순천시,135,"35,580","3,333"
신안군,58,"1,690",499
여수시,153,"29,787","3,041"
영광군,45,"4,412",622
영암군,51,"4,728",758
완도군,63,"3,999",683
장성군,39,"3,620",552
장흥군,42,"2,544",449
진도군,35,"2,169",379
함평군,35,"2,333",452
해남군,54,"4,947",711
화순군,49,"5,360",711
경상북도,"1,573","274,871","28,138"
경산시,115,"28,801","2,606"
경주시,137,"25,087","2,551"
고령군,24,"1,798",289
구미시,198,"59,260","5,129"
김천시,88,"15,433","1,571"
문경시,54,"5,890",772
봉화군,38,"1,850",350
상주시,91,"8,772","1,190"
성주군,36,"2,347",398
안동시,99,"18,104","1,871"
영덕군,30,"2,030",334
영양군,20,934,201
영주시,62,"9,834","1,006"
영천시,64,"7,693",954
예천군,39,"4,438",584
울릉군,11,472,94
울진군,40,"3,816",537
의성군,48,"2,314",461
청도군,35,"2,849",387
청송군,29,"1,204",282
칠곡군,69,"13,062","1,353"
포항시,246,"58,883","5,218"
경상남도,"1,649","395,540","35,969"
거제시,126,"36,763","2,964"
거창군,50,"6,657",788
고성군,49,"4,326",640
김해시,205,"73,330","5,916"
남해군,40,"3,320",528
밀양시,67,"9,006","1,046"
사천시,50,"11,934","1,137"
산청군,35,"2,096",407
양산시,140,"49,343","3,872"
의령군,31,"1,552",345
진주시,145,"42,468","3,820"
창녕군,52,"5,010",679
창원시,423,"121,730","10,408"
통영시,64,"14,376","1,303"
하동군,43,"2,386",486
함안군,47,"6,151",703
함양군,35,"2,772",439
합천군,47,"2,320",488
제주특별자치도,314,"84,084","7,257"
서귀포시,116,"19,312","2,013"
제주시,198,"64,772","5,244"
