지역명,평균접근성,"접근성등급(1:하,2:중,3:상)"
강원특별자치도 강릉시,0.0016539529013344,1
강원특별자치도 고성군,0.0008809965422995,1
강원특별자치도 동해시,0.0023031154818674,2
강원특별자치도 삼척시,0.0008807887274043,1
강원특별자치도 속초시,0.00219978341959,2
강원특별자치도 양구군,0.0022826174687491,2
강원특별자치도 양양군,0.0007368609967743,1
강원특별자치도 영월군,0.001845539059683,2
강원특별자치도 원주시,0.0022485122555554,2
강원특별자치도 인제군,0.0012429123645275,1
강원특별자치도 정선군,0.001416867842072,1
강원특별자치도 철원군,0.0014908118408609,1
강원특별자치도 춘천시,0.0022677787822185,2
강원특별자치도 태백시,0.0022292025110199,2
강원특별자치도 평창군,0.0012361514867863,1
강원특별자치도 홍천군,0.0020639125197211,2
강원특별자치도 화천군,0.0022003879398963,2
강원특별자치도 횡성군,0.0008577109852209,1
경기도 가평군,0.0017977378616841,2
경기도 고양시,0.0037059193783752,3
경기도 과천시,0.0058393079930367,3
경기도 광명시,0.0038804024204403,3
경기도 광주시,0.001796889628999,2
경기도 구리시,0.0050390044829906,3
경기도 군포시,0.0040861073596147,3
경기도 김포시,0.0023521418432701,2
경기도 남양주시,0.0021910525407553,2
경기도 동두천시,0.0026078559603024,2
경기도 부천시,0.0043068372411638,3
경기도 성남시,0.0053339520573212,3
경기도 수원시,0.0044539844377817,3
경기도 시흥시,0.0034816567282929,3
경기도 안산시,0.0027693559892818,3
경기도 안성시,0.0020115612749956,2
경기도 안양시,0.0034526974476095,3
경기도 양주시,0.0022857389877342,2
경기도 양평군,0.0013431629067551,1
경기도 여주시,0.0020294713351591,2
경기도 연천군,0.0012705966692285,1
경기도 오산시,0.0027478698491327,3
경기도 용인시,0.0022971122962225,2
경기도 의왕시,0.0038784184416874,3
경기도 의정부시,0.0034036661848015,3
경기도 이천시,0.0023658637847962,2
경기도 파주시,0.0015647679747512,1
경기도 평택시,0.0024121197424199,2
경기도 포천시,0.0021531423575051,2
경기도 하남시,0.003055813536659,3
경기도 화성시,0.0020448950464804,2
경상남도 거제시,0.0020970104686486,2
경상남도 거창군,0.0015103524314501,1
경상남도 고성군,0.0017074940223891,1
경상남도 김해시,0.0031081137989065,3
경상남도 남해군,0.0021551423648013,2
경상남도 밀양시,0.0016376000348301,1
경상남도 사천시,0.0021034476146866,2
경상남도 산청군,0.001686899406383,1
경상남도 양산시,0.0025932413596839,2
경상남도 의령군,0.0012715880191637,1
경상남도 진주시,0.0026181327654641,2
경상남도 창녕군,0.0022537065165252,2
경상남도 창원시,0.0028472218609543,3
경상남도 통영시,0.0027881137539915,3
경상남도 하동군,0.0010997952756177,1
경상남도 함안군,0.0015537237192943,1
경상남도 함양군,0.0016978741911713,1
경상남도 합천군,0.0017523680919317,1
