지역명,보증금(만원),월세금(만원),종합월부담,종합부담등급,월세등급
강원특별자치도 강릉시,1489.430894,54.1097561,60.32,상,상
강원특별자치도 동해시,1291.638225,50.9556314,56.34,상,상
강원특별자치도 삼척시,1157.034384,48.15186246,52.97,상,상
강원특별자치도 속초시,1113.437535,48.8551686,53.49,상,상
강원특별자치도 양구군,1091.463415,36.58536585,41.13,중,중
강원특별자치도 양양군,1016.071429,36.85714286,41.09,중,중
강원특별자치도 영월군,1007.829099,45.47748268,49.68,상,상
강원특별자치도 원주시,1000,16,20.17,하,하
강원특별자치도 인제군,998.7671233,46.1,50.26,상,상
강원특별자치도 정선군,998.3052012,44.45436703,48.61,상,상
강원특별자치도 철원군,974.5389171,48.83460237,52.9,상,상
강원특별자치도 춘천시,969.1845848,47.32351968,51.36,상,상
강원특별자치도 태백시,950.3816794,37.80152672,41.76,중,중
강원특별자치도 평창군,944.7058824,43,46.94,상,상
강원특별자치도 홍천군,902.81507,47.48588575,51.25,상,상
강원특별자치도 화천군,896.6666667,38.7,42.44,중,중
강원특별자치도 횡성군,893.5930788,51.6127685,55.34,상,상
경기도 가평군,883.9791486,44.88792354,48.57,상,상
경기도 고양시,882.9268293,35.53658537,39.22,중,하
경기도 과천시,871.8750384,49.12311712,52.76,상,상
경기도 광명시,846.9285714,45.82142857,49.35,상,상
경기도 광주시,840.3773585,35.8490566,39.35,중,하
경기도 구리시,831.5982983,49.88042991,53.35,상,상
경기도 군포시,812.5,37.875,41.26,중,중
경기도 김포시,800,33.66666667,37,하,하
경기도 남양주시,792.7959184,44.5755102,47.88,상,상
경기도 동두천시,789.8078818,44.20745634,47.5,상,상
경기도 부천시,781.25,33.28125,36.54,하,하
경기도 성남시,771.9656463,41.16530612,44.38,중,중
경기도 수원시,763.9374379,45.25124131,48.43,상,상
경기도 시흥시,761.9314574,47.48773449,50.66,상,상
경기도 안산시,760.2561983,40.93057851,44.1,중,중
경기도 안성시,750,46.5,49.62,상,상
경기도 안양시,745.1243781,36.88723051,39.99,중,중
경기도 양주시,736.3636364,38.63636364,41.7,중,중
경기도 양평군,736.3448276,42.16551724,45.23,상,상
경기도 여주시,734.817574,36.28844317,39.35,중,하
경기도 연천군,731.0197368,39.60855263,42.65,중,중
경기도 오산시,722.6216404,35.9362836,38.95,중,하
경기도 용인시,721.3114754,34.27868852,37.28,하,하
경기도 의왕시,716,45.12,48.1,상,상
경기도 의정부시,700,39.7,42.62,중,중
경기도 이천시,699.5017585,41.95486518,44.87,상,중
경기도 파주시,698.6111111,36.76388889,39.67,중,중
경기도 평택시,696.969697,35.03030303,37.93,하,하
경기도 포천시,687.5,43.125,45.99,상,상
경기도 하남시,686.5934066,35.67032967,38.53,하,하
경기도 화성시,678.680203,41.39593909,44.22,중,중
경상남도 거제시,676.2711864,34.57627119,37.39,하,하
경상남도 거창군,668.3628319,34.96460177,37.75,하,하
경상남도 고성군,660.8695652,36.86956522,39.62,중,중
경상남도 김해시,657.912271,41.59578012,44.34,중,중
경상남도 남해군,651.2605941,47.44039604,50.15,상,상
경상남도 밀양시,650.3504673,30.72663551,33.44,하,하
경상남도 사천시,647.0588235,38.14705882,40.84,중,중
경상남도 산청군,643.9189189,46.81381381,49.5,상,상
경상남도 양산시,640.4060495,37.49587534,40.16,중,중
경상남도 의령군,638.75,37.11363636,39.78,중,중
경상남도 진주시,636.6666667,35.88333333,38.54,하,하
경상남도 창녕군,633.3333333,39.77777778,42.42,중,중
경상남도 창원시,633.3333333,33.33333333,35.97,하,하
경상남도 통영시,630.3030303,37.66666667,40.29,중,중
경상남도 하동군,630,38.9,41.52,중,중
경상남도 함안군,622.7923607,36.81792074,39.41,중,중
경상남도 함양군,616,37.44,40.01,중,중
경상남도 합천군,614.584919,35.72656801,38.29,하,하
경상북도 경산시,614.1891892,37.35135135,39.91,중,중
경상북도 경주시,606.9444444,32.30555556,34.83,하,하
경상북도 고령군,605.2631579,41.63157895,44.15,중,중
경상북도 구미시,602.5,30.33333333,32.84,하,하
경상북도 김천시,598.797619,34.05952381,36.55,하,하
경상북도 문경시,596.802168,39.69918699,42.19,중,중
경상북도 봉화군,595.5801105,32.54143646,35.02,하,하
경상북도 상주시,593.75,48.5,50.97,상,상
경상북도 성주군,593.1372549,36.13921569,38.61,하,하
경상북도 안동시,584.755199,42.4818776,44.92,상,상
