시도,합계 : 학교수,합계 : 편성학급수_계,합계 : 학생수_총계_계,합계 : 교원수_총계_계,합계 : 전체직원_계,합계 : 입학자_계,합계 : 졸업자_계
충북,804 ,"9,234 ","177,390 ","17,235 ","7,345 ","40,187 ","14,784 "
괴산군,39 ,183 ,"1,921 ",375 ,226 ,410 ,179 
유치원,15 ,18 ,135 ,29 ,0 ,0 ,0 
초등학교,14 ,103 ,902 ,184 ,150 ,127 ,0 
중학교,8 ,41 ,488 ,110 ,60 ,144 ,179 
고등학교,1 ,19 ,372 ,44 ,16 ,139 ,0 
각종학교,1 ,2 ,24 ,8 ,0 ,0 ,0 
단양군,28 ,146 ,"1,798 ",308 ,205 ,419 ,159 
유치원,11 ,14 ,101 ,26 ,0 ,0 ,0 
초등학교,10 ,75 ,734 ,137 ,117 ,87 ,0 
중학교,5 ,31 ,450 ,83 ,53 ,157 ,159 
고등학교,2 ,26 ,513 ,62 ,35 ,175 ,0 
보은군,39 ,195 ,"2,232 ",398 ,247 ,502 ,161 
유치원,16 ,23 ,206 ,41 ,0 ,0 ,0 
초등학교,14 ,101 ,891 ,173 ,148 ,131 ,0 
중학교,5 ,36 ,561 ,91 ,48 ,187 ,161 
고등학교,4 ,35 ,574 ,93 ,51 ,184 ,0 
영동군,39 ,233 ,"3,136 ",471 ,298 ,724 ,270 
유치원,13 ,23 ,206 ,42 ,0 ,0 ,0 
초등학교,14 ,112 ,"1,242 ",196 ,170 ,161 ,0 
중학교,7 ,49 ,855 ,112 ,62 ,294 ,270 
고등학교,5 ,49 ,833 ,121 ,66 ,269 ,0 
옥천군,36 ,257 ,"3,815 ",504 ,246 ,893 ,345 
유치원,16 ,24 ,229 ,41 ,0 ,0 ,0 
초등학교,12 ,130 ,"1,604 ",221 ,146 ,214 ,0 
중학교,5 ,59 ,"1,055 ",125 ,57 ,368 ,345 
고등학교,3 ,44 ,927 ,117 ,43 ,311 ,0 
음성군,60 ,545 ,"8,777 ","1,062 ",462 ,"1,959 ",844 
유치원,23 ,54 ,679 ,105 ,0 ,0 ,0 
초등학교,20 ,241 ,"3,679 ",423 ,251 ,495 ,0 
중학교,10 ,110 ,"2,058 ",247 ,94 ,708 ,674 
고등학교,5 ,95 ,"1,890 ",210 ,82 ,692 ,0 
특수학교,1 ,29 ,151 ,50 ,35 ,64 ,69 
각종학교,1 ,16 ,320 ,27 ,0 ,0 ,101 
제천시,76 ,706 ,"12,679 ","1,310 ",619 ,"2,801 ","1,147 "
유치원,31 ,89 ,"1,120 ",157 ,0 ,0 ,0 
초등학교,23 ,311 ,"5,361 ",495 ,312 ,731 ,0 
중학교,13 ,142 ,"3,036 ",299 ,143 ,"1,021 ","1,070 "
고등학교,7 ,132 ,"2,926 ",286 ,134 ,"1,006 ",0 
특수학교,1 ,23 ,102 ,43 ,30 ,43 ,35 
각종학교,1 ,9 ,134 ,30 ,0 ,0 ,42 
증평군,15 ,207 ,"4,010 ",392 ,158 ,943 ,322 
유치원,5 ,17 ,265 ,33 ,0 ,0 ,0 
초등학교,4 ,95 ,"1,908 ",144 ,72 ,273 ,0 
중학교,3 ,49 ,"1,038 ",101 ,43 ,349 ,322 
고등학교,3 ,46 ,799 ,114 ,43 ,321 ,0 
진천군,47 ,577 ,"11,121 ","1,116 ",427 ,"2,502 ",878 
유치원,17 ,62 ,916 ,128 ,0 ,0 ,0 
초등학교,15 ,283 ,"5,179 ",445 ,222 ,773 ,0 
중학교,7 ,116 ,"2,598 ",255 ,87 ,905 ,854 
고등학교,6 ,109 ,"2,359 ",262 ,118 ,824 ,0 
각종학교,2 ,7 ,69 ,26 ,0 ,0 ,24 
청주시,314 ,"4,977 ","105,894 ","9,062 ","3,458 ","23,993 ","8,581 "
유치원,128 ,540 ,"8,047 ","1,015 ",0 ,0 ,0 
초등학교,94 ,"2,301 ","47,482 ","3,573 ","1,770 ","6,865 ",0 
중학교,47 ,988 ,"25,003 ","2,064 ",741 ,"8,512 ","8,163 "
고등학교,37 ,961 ,"23,960 ","2,113 ",733 ,"8,142 ",0 
특수학교,5 ,162 ,854 ,291 ,214 ,300 ,237 
각종학교,1 ,5 ,52 ,6 ,0 ,0 ,14 
방송통신고등학교,1 ,11 ,277 ,0 ,0 ,99 ,97 
방송통신중학교,1 ,9 ,219 ,0 ,0 ,75 ,70 
충주시,111 ,"1,208 ","22,007 ","2,237 ",999 ,"5,041 ","1,898 "
유치원,41 ,129 ,"1,919 ",229 ,0 ,0 ,0 
초등학교,35 ,527 ,"9,185 ",860 ,470 ,"1,329 ",0 
중학교,19 ,226 ,"5,243 ",485 ,217 ,"1,796 ","1,746 "
고등학교,11 ,233 ,"5,185 ",514 ,180 ,"1,771 ",0 
특수학교,4 ,87 ,356 ,149 ,132 ,111 ,114 
방송통신고등학교,1 ,6 ,119 ,0 ,0 ,34 ,38 
