지역명,의료 평균접근성,학생수,교원수,교원 1인당 학생수,보증금(만원),월세금(만원),종합월부담,의료 등급,교육 인프라 등급,종합부담등급,월세등급,summary
강원특별자치도 강릉시,0.001653953,67854.0,6388.0,10.62,1489.430894,54.1097561,60.32,하,상,상,상,"강원특별자치도 강릉시는 의료 접근성이 낮고, 교육 인프라는 뛰어나며 월세 부담이 높은 지역으로, 종합적으로는 부담이 높은 상위 등급의 지역입니다."
강원특별자치도 동해시,0.002303115,116289.0,10062.0,11.56,1291.638225,50.9556314,56.34,중,상,상,상,"강원특별자치도 동해시는 의료 및 교육 분야에서 평균적인 접근성을 보이며, 학생과 교사의 비율이 균형을 유지하고 있습니다. 주거비용은 상대적으로 낮은 편이며, 종합적으로 보면 교육 및 의료 인프라가 잘 구축되어 있는 지역입니다."
강원특별자치도 삼척시,0.000880789,10390.0,812.0,12.8,1157.034384,48.15186246,52.97,하,상,상,상,"강원특별자치도 삼척시는 의료 및 교육 평균접근성이 높고, 학생과 교사 간의 교육환경이 바람직한 편입니다. 주거 부담은 중상급이지만 월세는 높은 편에 속합니다."
강원특별자치도 속초시,0.002199783,32195.0,2785.0,11.56,1113.437535,48.8551686,53.49,중,상,상,상,"강원특별자치도 속초시는 의료 접근성이 낮지만 교육 인프라는 우수한 지역으로, 학생 대비 교원 수가 적절하고 월세 부담이 상대적으로 높은 편입니다."
강원특별자치도 양구군,0.002282617,40231.0,3141.0,12.81,1091.463415,36.58536585,41.13,중,상,중,중,"강원특별자치도 양구군은 의료 및 교육 평균수준이 중상으로 평가되는 지역으로, 월세 및 종합부담 부분에서 중급 정도의 수준을 보여주는 곳입니다."
강원특별자치도 양양군,0.000736861,19269.0,1634.0,11.79,1016.071429,36.85714286,41.09,하,상,중,중,"강원특별자치도 양양군은 학생과 교원의 비율이 11.79로 적절하며, 교육 인프라 등급이 상으로 평가되고 있는 지역으로, 경제적 부담은 중등 수준이지만 의료 접근성이 낮은 편입니다."
강원특별자치도 영월군,0.001845539,26542.0,2316.0,11.46,1007.829099,45.47748268,49.68,중,상,상,상,"강원특별자치도 영월군은 의료와 교육 접근성이 뛰어나고 월세 부담이 비교적 낮은 지역으로, 학생과 교원의 비유가 균형적이며 생활비 부담이 적은 환경을 제공하고 있습니다."
강원특별자치도 원주시,0.002248512,72385.0,5298.0,13.66,1000.0,16.0,20.17,중,상,하,하,"강원특별자치도 원주시는 의료 접근성과 학생-교원 비율이 우수한 지역으로, 교육 인프라 등급은 상이지만 주거 비용은 낮은 편입니다. 의료 및 교육 부문에서는 중등급을 기록하며 종합적으로는 부담이 낮은 지역으로 평가됩니다."
강원특별자치도 인제군,0.001242912,91671.0,7152.0,12.82,998.7671233,46.1,50.26,하,상,상,상,"강원특별자치도 인제군은 의료 및 교육 서비스가 뛰어나며, 월세금과 보증금이 상대적으로 저렴한 지역으로 평가됩니다. 종합적으로 부담이 높은 지역이지만 교육 인프라 등급은 상을 유지하고 있습니다."
강원특별자치도 정선군,0.001416868,8830.0,836.0,10.56,998.3052012,44.45436703,48.61,하,상,상,상,강원특별자치도 정선군은 의료 접근성이 높고 교육 인프라 등급이 우수한 지역으로 교원 1인당 학생수가 적절하며 보증금과 월세가 높은 편입니다. 종합적으로 보면 교육 및 의료 부문에서 뛰어난 서비스를 제공하고 있는 것으로 파악됩니다.
강원특별자치도 철원군,0.001490812,78062.0,6749.0,11.57,974.5389171,48.83460237,52.9,하,상,상,상,"대한민국 강원특별자치도 철원군은 의료 접근성이 낮지만 교육 인프라가 뛰어나며 월세 및 종합부담 등급이 높은 지역입니다. 학생수 대비 교원 수가 적은 것이 특징이며, 보증금 및 월세 금액도 상대적으로 높은 편에 속합니다."
강원특별자치도 춘천시,0.002267779,97447.0,8483.0,11.49,969.1845848,47.32351968,51.36,중,상,상,상,"강원특별자치도 춘천시는 의료 및 교육 접근성이 뛰어나고, 교육 인프라가 우수한 지역입니다. 월세 및 보증금 부담이 높으며, 의료 및 종합부담 등급 또한 높게 평가됩니다."
강원특별자치도 태백시,0.002229203,143710.0,11753.0,12.23,950.3816794,37.80152672,41.76,중,상,중,중,"강원특별자치도 태백시는 의료 서비스 평균접근성이 낮고, 교육 인프라는 좋은 편이며 보증금과 월세금이 상대적으로 낮은 지역입니다."
강원특별자치도 평창군,0.001236151,68676.0,5331.0,12.88,944.7058824,43.0,46.94,하,상,상,상,"강원특별자치도 평창군은 학생과 교사 간의 교육 환경이 양호한 상태이며, 의료 시설에 대한 평균적인 접근성이 극히 낮은 편입니다. 주거 비용이 비교적 저렴한 편이며, 종합적인 부담이나 시설 등급은 상으로 평가됩니다."
강원특별자치도 홍천군,0.002063913,69880.0,5945.0,11.75,902.81507,47.48588575,51.25,중,상,상,상,"강원특별자치도 홍천군은 의료 및 교육 인프라가 양호하고 월세 부담이 높은 지역으로, 교육 환경이 발달되어 있으며 의료 서비스 수준도 중상으로 평가됩니다."
강원특별자치도 화천군,0.002200388,21512.0,1937.0,11.11,896.6666667,38.7,42.44,중,상,중,중,"강원특별자치도 화천군은 의료와 교육 분야에서 중등급의 서비스를 제공하고 있으며, 교육 인프라 등급은 우수한 상위 성적을 보여주고 있습니다. 이 지역은 보증금 및 월세가 상대적으로 낮은 편이며, 학생 수와 교원 수의 비율 역시 균형을 유지하고 있습니다."
강원특별자치도 횡성군,0.000857711,59451.0,4992.0,11.91,893.5930788,51.6127685,55.34,하,상,상,상,"강원도 횡성군은 의료 및 교육 서비스에 상대적으로 뛰어난 접근성과 인프라 등급을 가진 지역으로, 월세 및 보증금 부담이 높은 상태이지만 종합적으로는 상대적으로 높은 수준의 서비스를 제공할 수 있는 곳입니다."
경기도 가평군,0.001797738,33025.0,2613.0,12.64,883.9791486,44.88792354,48.57,중,상,상,상,"경기도 가평군은 의료와 교육 평균접근성이 높고, 보증금과 월세금이 비교적 낮은 수준으로 안정적인 생활 환경을 제공하는 지역입니다."
경기도 고양시,0.003705919,10944.0,1216.0,9.0,882.9268293,35.53658537,39.22,상,중,중,하,"경기도 고양시는 의료 평균접근성이 높고 학생과 교원 수가 적절하며 교육 인프라 등급이 중위 수준인 지역으로, 월세 부담이 낮은 편이며 종합부담 등급은 중하에 속합니다."
경기도 과천시,0.005839308,10864.0,1206.0,9.01,871.8750384,49.12311712,52.76,상,중,상,상,"경기도 과천시의 의료 접근성은 낮지만 교육 인프라가 중상 수준으로 발달해 학생들에게 좋은 교육환경을 제공하고 있습니다. 주택 부담이 높은 편이지만, 종합부담 등급은 좋은 편으로 평가됩니다."
경기도 광명시,0.003880402,3228.0,496.0,6.51,846.9285714,45.82142857,49.35,상,하,상,상,"경기도 광명시는 의료 및 교육 시설에 뛰어난 접근성을 가지고 있으며, 학생 수 대비 교원 수가 균형을 유지하고 있습니다. 또한 월세 및 보증금 부담이 상당히 높은 편이며, 종합적으로는 상 좋은 등급을 보유한 지역입니다."
경기도 광주시,0.00179689,33973.0,2635.0,12.89,840.3773585,35.8490566,39.35,중,상,중,하,"경기도 광주시는 의료 접근성이 높고 교육 인프라가 우수한 지역으로, 월세 부담이 낮은 편이지만 보증금이 상대적으로 높은 특징을 갖고 있습니다."
경기도 구리시,0.005039004,135654.0,10425.0,13.01,831.5982983,49.88042991,53.35,상,상,상,상,"경기도 구리시는 의료 및 교육 인프라가 뛰어나며, 보증금과 월세금이 상대적으로 높은 수준이지만 학생수 대비 교원수가 적절하고 종합적으로 부담이 높지 않은 안정적인 지역으로 평가됩니다."
경기도 군포시,0.004086107,14462.0,1286.0,11.25,812.5,37.875,41.26,상,상,중,중,"경기도 군포시는 의료와 교육 평균접근성이 뛰어나며, 학생 대비 교원 수가 적절하고 보증금 및 월세가 중간 수준인 지역입니다. 종합적으로는 중간 부담 등급을 보이고 있습니다."
경기도 김포시,0.002352142,48360.0,4022.0,12.02,800.0,33.66666667,37.0,중,상,하,하,"경기도 김포시는 의료 및 교육 분야에서 평균 접근성이 낮지만, 교육 인프라는 뛰어나며 월세 부담도 상대적으로 낮은 지역으로 평가됩니다."
