지역명,보증금(만원),월세금(만원),종합월부담,종합부담등급,월세등급
경기도 과천시,1489.4308943089432,54.109756097560975,60.32,상,상
경기도 의왕시,1291.6382252559729,50.95563139931741,56.34,상,상
경기도 하남시,1157.0343839541547,48.15186246418338,52.97,상,상
경기도 성남시,1113.4375345494748,48.855168601437256,53.49,상,상
강원특별자치도 인제군,1091.4634146341464,36.58536585365854,41.13,중,중
경상북도 성주군,1016.0714285714286,36.85714285714285,41.09,중,중
경기도 안양시,1007.8290993071594,45.47748267898383,49.68,상,상
전라남도 함평군,1000.0,16.0,20.17,하,하
경기도 광명시,998.7671232876712,46.1,50.26,상,상
경기도 군포시,998.3052011776252,44.45436702649656,48.61,상,상
경기도 남양주시,974.5389170896784,48.83460236886633,52.9,상,상
경기도 광주시,969.1845848494872,47.32351968243466,51.36,상,상
경상남도 거창군,950.3816793893128,37.80152671755725,41.76,중,중
강원특별자치도 양양군,944.7058823529412,43.0,46.94,상,상
경기도 고양시,902.8150700155592,47.48588575238942,51.25,상,상
경상남도 하동군,896.6666666666666,38.7,42.44,중,중
경기도 파주시,893.5930787589499,51.612768496420045,55.34,상,상
경기도 구리시,883.9791485664639,44.8879235447437,48.57,상,상
경상남도 남해군,882.9268292682926,35.53658536585366,39.22,중,하
경기도 용인시,871.8750384260683,49.12311712265601,52.76,상,상
경상남도 합천군,846.9285714285714,45.82142857142857,49.35,상,상
경상북도 영덕군,840.377358490566,35.84905660377358,39.35,중,하
경기도 화성시,831.5982982534707,49.88042991491268,53.35,상,상
전라남도 완도군,812.5,37.875,41.26,중,중
강원특별자치도 영월군,800.0,33.666666666666664,37.0,하,하
경기도 양평군,792.795918367347,44.57551020408163,47.88,상,상
경기도 수원시,789.807881773399,44.20745633676668,47.5,상,상
경상남도 산청군,781.25,33.28125,36.54,하,하
경기도 부천시,771.9656462585034,41.16530612244898,44.38,중,중
경기도 김포시,763.9374379344588,45.25124131082423,48.43,상,상
경기도 오산시,761.9314574314574,47.487734487734485,50.66,상,상
경기도 시흥시,760.2561983471074,40.93057851239669,44.1,중,중
전북특별자치도 진안군,750.0,46.5,49.62,상,상
경상남도 통영시,745.1243781094528,36.88723051409619,39.99,중,중
경상북도 의성군,736.3636363636364,38.63636363636363,41.7,중,중
경기도 가평군,736.3448275862069,42.16551724137931,45.23,상,상
경상남도 진주시,734.8175740210124,36.28844317096466,39.35,중,하
경상남도 밀양시,731.0197368421053,39.60855263157895,42.65,중,중
경상남도 창원시,722.621640407785,35.93628359592215,38.95,중,하
충청남도 금산군,721.311475409836,34.278688524590166,37.28,하,하
전라남도 강진군,716.0,45.12,48.1,상,상
전라남도 장성군,700.0,39.7,42.62,중,중
경기도 의정부시,699.5017584994139,41.9548651817116,44.87,상,중
경상남도 창녕군,698.6111111111111,36.763888888888886,39.67,중,중
