지역명,의료 평균접근성,학생수,교원수,교원 1인당 학생수,보증금(만원),월세금(만원),종합월부담,종합부담등급,의료 등급,교육 인프라 등급,월세등급,summary,인구수,면적
강원특별자치도 강릉시,0.001653953,67854,6388,10.62,1489.430894,54.1097561,60.32,상,하,상,상,강원특별자치도 강릉시는 의료 및 교육 평균접근성이 뛰어나며 부동산 월세 및 보증금 부담이 높은 상위 지역으로 분류됩니다. 또한 교원 1인당 학생수가 낮아 교육 환경이 우수하며 종합부담등급과 월세등급이 상위에 속하는 특징을 가지고 있습니다.,207731,1040830704.0
강원특별자치도 동해시,0.002303115,116289,10062,11.56,1291.638225,50.9556314,56.34,상,중,상,상,"강원도 동해시는 의료 및 교육 서비스에 뛰어난 접근성을 가지고 있으며, 주거 부담도 낮고 교육 인프라 등급이 중상 수준입니다.",87675,180343633.3
강원특별자치도 삼척시,0.000880789,10390,812,12.8,1157.034384,48.15186246,52.97,상,하,상,상,"강원특별자치도 삼척시는 의료 및 월세 부담이 높은 상위 지역으로 평균적으로 교육 인프라 등급이 낮지만, 의료 등급은 높은 특징을 가지고 있습니다.",61735,1187846876.4
강원특별자치도 속초시,0.002199783,32195,2785,11.56,1113.437535,48.8551686,53.49,상,중,상,상,"강원특별자치도 속초시는 의료와 교육 분야에서 높은 수준의 서비스를 제공하고 있으며, 높은 월세금과 보증금으로 인해 주거 부담이 높은 지역으로 분류됩니다.",80933,105753238.5
강원특별자치도 양구군,0.002282617,40231,3141,12.81,1091.463415,36.58536585,41.13,중,중,상,중,"강원특별자치도 양구군은 의료 및 교육 서비스에 중간 수준의 접근성을 갖추고 있으며, 월세 부담이 중간 수준인 지역으로 평균 보증금과 월세금이 비교적 낮은 것이 특징입니다.",20621,661989171.2
강원특별자치도 양양군,0.000736861,19269,1634,11.79,1016.071429,36.85714286,41.09,중,하,상,중,"강원특별자치도 양양군은 의료 및 교육 접근성이 낮지만 보증금과 월세금이 상대적으로 낮은 지역으로, 종합부담 등급은 상이지만 의료 및 교육 인프라 등급은 중, 하 수준에 해당합니다.",27489,629767769.0
강원특별자치도 영월군,0.001845539,26542,2316,11.46,1007.829099,45.47748268,49.68,상,중,상,상,"대한민국 강원특별자치도 영월군은 의료와 교육 분야에서 높은 품질을 제공하는 지역으로, 의료 및 교육 서비스의 접근성과 품질이 우수합니다. 또한 주거 환경 역시 안정적으로 임대료 부담이 높은 편이나, 종합부담 등급이 상급에 해당하는 곳으로 평가됩니다.",36721,1127467167.7
강원특별자치도 원주시,0.002248512,72385,5298,13.66,1000.0,16.0,20.17,하,중,상,하,"원주시는 의료 평균접근성이 높고 학생과 교원의 비율이 적절한 교육 인프라 등급 중간 수준의 지역으로, 보증금과 월세가 상대적으로 낮은 등급 하의 부담 수준을 보이고 있습니다.",362164,868291526.6
강원특별자치도 인제군,0.001242912,91671,7152,12.82,998.7671233,46.1,50.26,상,하,상,상,"강원특별자치도 인제군은 학생수가 많고 교원 1인당 학생수가 낮은 교육 환경을 갖추고 있으며, 의료 접근성이 뛰어나고 보증금과 월세금이 비교적 높은 지역입니다.",31535,1646203770.9
강원특별자치도 정선군,0.001416868,8830,836,10.56,998.3052012,44.45436703,48.61,상,하,상,상,"강원특별자치도 정선군은 의료 접근성이 우수하고 의료 및 교육 부문에서 높은 등급을 받는 지역으로, 교원 1인당 학생 수가 낮아 교육 환경이 바람직하며 월세 및 보증금 부담이 높은 것이 특징입니다.",33515,1219782391.5
강원특별자치도 철원군,0.001490812,78062,6749,11.57,974.5389171,48.83460237,52.9,상,하,상,상,"강원특별자치도 철원군은 의료 접근성이 높고 보증금과 월세가 비교적 낮은 지역으로, 학생 대비 교원 수도 증가하고 있습니다. 해당 지역은 의료와 교육 인프라 등급이 높은 편이지만 월세 부담은 상당히 높은 편에 속합니다.",40497,890128355.3
강원특별자치도 춘천시,0.002267779,97447,8483,11.49,969.1845848,47.32351968,51.36,상,중,상,상,"강원특별자치도 춘천시는 의료 평균접근성이 낮고 교육 인프라가 중급 수준이며 월세 및 종합부담 등급이 높은 지역으로서, 학생수 대비 교원이 많아 학생들에 대한 교육 환경이 비교적 유리한 편이며, 보증금 및 월세 부담이 높은 편이다.",286069,1116432693.3
강원특별자치도 태백시,0.002229203,143710,11753,12.23,950.3816794,37.80152672,41.76,중,중,상,중,"강원특별자치도 태백시는 의료와 교육 접근성이 뛰어나고, 주거비용은 중간 수준인 지역으로 평가됩니다. 종합적으로 지역 부담이 높은 상태에서 월세는 중간 수준에 해당하는 특징을 가지고 있습니다.",37936,303438063.6
강원특별자치도 평창군,0.001236151,68676,5331,12.88,944.7058824,43.0,46.94,상,하,상,상,"강원도 평창군은 학생과 교사의 비율이 적절하고 교육환경이 좋은 지역으로, 의료 및 생활비 부담이 높고 월세도 높은 편이며, 전반적으로 생활 수준이 높은 고지대 지역입니다.",40396,1464247816.5
강원특별자치도 홍천군,0.002063913,69880,5945,11.75,902.81507,47.48588575,51.25,상,중,상,상,"강원특별자치도 홍천군은 의료 및 교육 인프라가 뛰어나며, 상위 등급의 종합부담 및 월세 등급을 가지고 있습니다. 교원 1인당 학생수도 낮고, 보증금 및 월세금 역시 상대적으로 낮은 편입니다.",66717,1820409834.9
강원특별자치도 화천군,0.002200388,21512,1937,11.11,896.6666667,38.7,42.44,중,중,상,중,"화천군은 의료 및 교육 평균접근성이 중간 수준이며, 월세 및 종합부담 등급은 중간에서 상으로 분류되는 지역으로, 보증금은 상대적으로 높으며 교원 1인당 학생수는 낮은 수준을 보입니다.",22922,909076046.1
강원특별자치도 횡성군,0.000857711,59451,4992,11.91,893.5930788,51.6127685,55.34,상,하,상,상,"강원도 횡성군은 의료 및 교육 분야에서 뛰어난 서비스를 제공하는 지역으로, 의료 및 교육 인프라의 등급이 높고 월세 및 종합부담등급도 우수한 편입니다. 또한 학생과 교사의 비율이 적절하며 거주 환경은 상당히 안정적인 편이며 보증금 및 월세도 대체로 합리적인 수준을 유지하고 있습니다.",46111,997996873.5
경기도 가평군,0.001797738,33025,2613,12.64,883.9791486,44.88792354,48.57,상,중,상,상,"경기도 가평군은 의료와 교육 분야에서 상위 등급을 갖고 있는 지역으로, 의료 평균접근성이 매우 뛰어나며 교육 인프라도 중상 수준을 유지하고 있습니다. 또한 월세 및 종합부담 등급도 높은 편이며, 학생수 대비 교원수가 적절한 수준을 보유하고 있습니다.",62527,843409368.3
경기도 고양시,0.003705919,10944,1216,9.0,882.9268293,35.53658537,39.22,중,상,중,하,경기도 고양시는 의료와 교육 평균접근성이 상당히 낮은 편이며 월세 부담이 낮게 평가되는 지역입니다. 학생수와 교원수의 비율은 9:1로 교육 인프라가 상의 수준을 보유하고 있습니다.,1070120,268153575.2
경기도 과천시,0.005839308,10864,1206,9.01,871.8750384,49.12311712,52.76,상,상,중,상,"경기도 과천시는 의료와 교육 분야에서 우수한 접근성과 인프라를 가진 지역으로, 고학력 인구가 많고 월세와 보증금이 평균 이상인 중등부담 지역입니다.",85512,35871751.6
